epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.792,1.65437,3.24564,1.94194,0.41032,0.4243,0.36365,0.17712,1.59095,2.09899,1.7328,0.00331588,0.00331588,0.0701571
2,224.403,1.43292,1.78067,1.69389,0.54698,0.50223,0.51265,0.28636,1.44059,1.84573,1.60918,0.00599094,0.00599094,0.0394988
3,307.926,1.45389,1.58694,1.6712,0.41879,0.46076,0.41644,0.20818,1.74145,2.22453,1.94522,0.008006,0.008006,0.00818052
4,391.051,1.50513,1.55386,1.73616,0.58239,0.45269,0.45711,0.23812,1.7374,2.08832,1.98462,0.00703,0.00703,0.00703
5,474.143,1.45051,1.44428,1.70979,0.57369,0.54772,0.57017,0.2851,1.69834,1.67357,1.84964,0.00604,0.00604,0.00604
6,557.215,1.34275,1.18388,1.60845,0.60392,0.55807,0.59199,0.31893,1.54324,1.56165,1.77003,0.00505,0.00505,0.00505
7,640.403,1.2404,1.01502,1.52487,0.73607,0.65896,0.72826,0.43801,1.38965,1.2165,1.64048,0.00406,0.00406,0.00406
8,723.585,1.12662,0.83626,1.41749,0.813,0.68913,0.78002,0.4672,1.41846,1.07535,1.63969,0.00307,0.00307,0.00307
9,806.717,1.05432,0.70812,1.36527,0.78915,0.77089,0.79583,0.48934,1.34634,0.99918,1.59606,0.00208,0.00208,0.00208
10,889.892,0.96175,0.6045,1.2932,0.8172,0.75949,0.84659,0.52921,1.29841,0.90476,1.53746,0.00109,0.00109,0.00109
