epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.8848,1.54744,2.80153,1.78319,0.39556,0.42446,0.36337,0.18816,1.58132,2.16795,1.82569,0.000331588,0.000331588,0.0671728
2,197.02,1.40897,1.85719,1.67651,0.42277,0.42665,0.38118,0.2017,1.63705,2.18527,1.92411,0.000621037,0.000621037,0.0341289
3,282.97,1.43746,1.76458,1.69297,0.52127,0.51957,0.52258,0.29409,1.58259,1.77258,1.99324,0.000866485,0.000866485,0.00104101
4,369.652,1.39884,1.68396,1.68642,0.60523,0.51642,0.54839,0.29825,1.56938,1.85069,1.90136,0.000802,0.000802,0.000802
5,498.686,1.35504,1.58924,1.62618,0.65731,0.54661,0.60753,0.32969,1.61557,1.63757,1.96041,0.000736,0.000736,0.000736
6,609.278,1.36111,1.38212,1.71939,0.64416,0.57114,0.61501,0.33579,1.51432,1.69623,1.84904,0.00067,0.00067,0.00067
7,694.927,1.25479,1.17989,1.6187,0.66575,0.69149,0.71484,0.40048,1.44205,1.46526,1.78498,0.000604,0.000604,0.000604
8,782.071,1.2367,1.08639,1.58426,0.71032,0.65715,0.72716,0.44311,1.34602,1.36028,1.69328,0.000538,0.000538,0.000538
9,867.648,1.13908,0.93429,1.51227,0.73451,0.69242,0.76462,0.45838,1.36853,1.17269,1.68385,0.000472,0.000472,0.000472
10,985.352,1.07583,0.81857,1.44678,0.72579,0.69829,0.75482,0.4553,1.37449,1.19585,1.74322,0.000406,0.000406,0.000406
11,1067.85,1.02141,0.73744,1.40738,0.75887,0.72161,0.79328,0.50298,1.3617,1.06613,1.67747,0.00034,0.00034,0.00034
12,1150.84,0.94859,0.6533,1.34423,0.77581,0.77058,0.81257,0.51105,1.31258,1.01312,1.66462,0.000274,0.000274,0.000274
13,1239.66,0.89229,0.57528,1.29818,0.8185,0.76898,0.8374,0.5375,1.24663,0.90318,1.61318,0.000208,0.000208,0.000208
14,1339.11,0.83239,0.50305,1.23873,0.8449,0.76389,0.84143,0.54038,1.23485,0.92476,1.61518,0.000142,0.000142,0.000142
15,1476.34,0.77195,0.4474,1.19515,0.84545,0.81723,0.86421,0.5696,1.21655,0.84775,1.59298,7.6e-05,7.6e-05,7.6e-05
