epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.37,1.69195,2.89559,1.90985,0.02794,0.10373,0.01389,0.00489,2.60851,11.7752,2.98833,0.000473839,0.000473839,0.000473839
2,295.593,1.82291,2.79812,2.05547,0.07043,0.07422,0.03802,0.00952,2.7301,4.18484,2.96853,0.000940766,0.000940766,0.000940766
3,448.392,1.8147,2.75017,2.05221,0.0926,0.26778,0.06046,0.01979,2.12898,8.63838,2.52871,0.00139826,0.00139826,0.00139826
4,657.622,1.73796,2.63487,1.97609,0.24613,0.20569,0.13663,0.05524,2.02584,3.07692,2.30488,0.00138656,0.00138656,0.00138656
5,953.718,1.67009,2.46567,1.91947,0.40913,0.32928,0.30374,0.14046,1.85022,2.63036,2.19553,0.00137241,0.00137241,0.00137241
6,1129.16,1.63319,2.33461,1.893,0.37321,0.33843,0.34232,0.16034,1.80987,2.43949,2.10779,0.00135826,0.00135826,0.00135826
7,1214.45,1.5833,2.22181,1.84476,0.54041,0.38263,0.39764,0.19274,1.81405,2.44073,2.1246,0.00134412,0.00134412,0.00134412
8,1303.78,1.5427,2.14589,1.8214,0.44491,0.35687,0.36267,0.18597,1.77032,2.23565,2.09326,0.00132997,0.00132997,0.00132997
9,1392.28,1.51907,2.08033,1.79594,0.34492,0.3417,0.30552,0.14042,1.90156,2.43119,2.11988,0.00131582,0.00131582,0.00131582
10,1480.78,1.49604,1.9571,1.76094,0.36554,0.33315,0.31315,0.15244,2.04759,2.3783,2.26152,0.00130168,0.00130168,0.00130168
11,1569.01,1.45309,1.89118,1.73197,0.52471,0.43628,0.43605,0.23371,1.68656,2.4454,2.07888,0.00128753,0.00128753,0.00128753
12,1655.45,1.42875,1.8008,1.71421,0.57849,0.47,0.49168,0.23947,1.76328,1.97261,2.06373,0.00127338,0.00127338,0.00127338
13,1740.29,1.41046,1.7467,1.69018,0.56438,0.463,0.51652,0.26751,1.62525,1.86004,1.90025,0.00125923,0.00125923,0.00125923
14,1825.68,1.37639,1.66665,1.66235,0.57278,0.52536,0.56902,0.28645,1.7193,1.84927,2.02249,0.00124509,0.00124509,0.00124509
15,1909.96,1.36351,1.63628,1.64944,0.56921,0.57724,0.63507,0.35029,1.59142,1.66592,1.873,0.00123094,0.00123094,0.00123094
16,1995.34,1.32984,1.52634,1.61831,0.60202,0.59979,0.61222,0.33293,1.57186,1.56217,1.88333,0.00121679,0.00121679,0.00121679
17,2080,1.30682,1.51486,1.60525,0.59977,0.561,0.6131,0.31791,1.6682,1.55609,1.97061,0.00120265,0.00120265,0.00120265
18,2164.22,1.27887,1.4545,1.59676,0.69188,0.61439,0.69392,0.39522,1.48372,1.46881,1.83281,0.0011885,0.0011885,0.0011885
19,2248.22,1.26287,1.41571,1.57541,0.68237,0.6337,0.68694,0.3876,1.52127,1.47805,1.87756,0.00117435,0.00117435,0.00117435
20,2333.66,1.23396,1.35064,1.54127,0.76689,0.6562,0.72562,0.40438,1.55157,1.34227,1.89127,0.00116021,0.00116021,0.00116021
