epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,336.879,1.50268,1.96456,1.72444,0.56447,0.4431,0.49475,0.26742,1.69237,2.69101,1.89388,0.00022135,0.00022135,0.00022135
2,769.727,1.57203,1.83857,1.78241,0.45863,0.4467,0.43372,0.23278,1.73065,2.5726,1.99515,0.000421721,0.000421721,0.000421721
3,1363.32,1.5754,1.84888,1.79844,0.54737,0.43643,0.44623,0.23508,1.71089,2.18257,2.01958,0.000600081,0.000600081,0.000600081
4,1697.39,1.51776,1.75911,1.7516,0.60367,0.47339,0.5211,0.27896,1.65912,1.94732,1.9262,0.00056795,0.00056795,0.00056795
5,1893.17,1.4722,1.64552,1.7163,0.7197,0.4789,0.56768,0.31735,1.60631,1.80136,1.84905,0.000534934,0.000534934,0.000534934
6,2779.92,1.42292,1.57501,1.68967,0.6526,0.5801,0.61502,0.35131,1.4602,1.5861,1.73966,0.000501917,0.000501917,0.000501917
7,3216.78,1.36924,1.46682,1.63077,0.64334,0.62194,0.65842,0.38224,1.4253,1.62416,1.6949,0.000468901,0.000468901,0.000468901
8,4590.41,1.32919,1.41211,1.61193,0.75956,0.60941,0.69749,0.41572,1.41759,1.30785,1.66731,0.000435884,0.000435884,0.000435884
9,5296.94,1.28568,1.32644,1.5771,0.79092,0.63333,0.73275,0.44729,1.37287,1.26476,1.64605,0.000402868,0.000402868,0.000402868
10,6535.79,1.28671,1.2882,1.57057,0.77982,0.65438,0.73638,0.4442,1.37106,1.22036,1.63168,0.000369851,0.000369851,0.000369851
11,7563.23,1.34423,1.14556,1.65413,0.81238,0.67201,0.7706,0.47876,1.27264,1.18464,1.55648,0.000336835,0.000336835,0.000336835
12,9131.8,1.29457,1.03807,1.62157,0.81807,0.68065,0.76969,0.4896,1.277,1.13494,1.55175,0.000303818,0.000303818,0.000303818
13,10110.7,1.25056,0.982,1.58658,0.79844,0.70904,0.7879,0.50808,1.23373,1.06118,1.5259,0.000270802,0.000270802,0.000270802
14,10940.3,1.19569,0.92466,1.54111,0.81634,0.73152,0.81015,0.51985,1.20278,1.05766,1.47877,0.000237785,0.000237785,0.000237785
15,11565.7,1.16097,0.83128,1.49473,0.79441,0.74898,0.80663,0.52432,1.21043,1.03254,1.49968,0.000204769,0.000204769,0.000204769
16,12326.4,1.11028,0.79628,1.46433,0.842,0.72857,0.8238,0.54913,1.16463,0.96613,1.45226,0.000171752,0.000171752,0.000171752
17,12904.4,1.08622,0.74662,1.44433,0.83291,0.75518,0.81936,0.55017,1.13963,0.92941,1.4381,0.000138736,0.000138736,0.000138736
18,13664,1.05397,0.69676,1.40745,0.81906,0.77085,0.82947,0.55573,1.15592,0.93828,1.44475,0.00010572,0.00010572,0.00010572
19,14282.3,1.003,0.65741,1.37599,0.83962,0.77486,0.83462,0.56305,1.12649,0.89075,1.42518,7.2703e-05,7.2703e-05,7.2703e-05
20,14913,0.96974,0.62664,1.35254,0.85481,0.76797,0.83523,0.5714,1.12041,0.88679,1.422,3.96865e-05,3.96865e-05,3.96865e-05
